Family;Genus;Species;Binomial;SPECIES_TPL;Group;life_span;growth_form;sla;sla_sd;sla_se;max_height;herbivores;mean_tm;tm_sd;tm_se;res
Poaceae;Sorghum;bicolor;Sorghum_bicolor;Sorghum_bicolor;M;Annual;Graminoid;22.81;NA;NA;2.404346888;1;0.472;NA;NA;-0.936679684
Cupressaceae;Thuja;occidentalis;Thuja_occidentalis;Thuja_occidentalis;G;Perennial;Tree;4.49;NA;NA;20;4;0.2875;NA;NA;0.162636766
Cupressaceae;Thuja;plicata;Thuja_plicata;Thuja_plicata;G;Perennial;Tree;4.460095;NA;NA;60;1;0.758666667;NA;NA;-0.330453968
Lamiaceae;Thymus;vulgaris;Thymus_vulgaris;Thymus_vulgaris;D;Perennial;Shrub;10.38;NA;NA;0.4;5;0.68;NA;NA;-0.090096409
Asteraceae;Tragopogon;dubius;Tragopogon_dubius;Tragopogon_dubius;D;Biennial;Herb;25.3;NA;NA;0.55;3;0.154;NA;NA;-0.075266297
Fabaceae;Trifolium;subterraneum;Trifolium_subterraneum;Trifolium_subterraneum;D;Annual;Herb;25;NA;NA;0.2;1;0.002;NA;NA;-0.58409171
Pinaceae;Tsuga;heterophylla;Tsuga_heterophylla;Tsuga_heterophylla;G;Perennial;Tree;10.3385584;NA;NA;48.37934763;1;0.9285;0.0215;NA;-0.306763848
Ulmaceae;Ulmus;laevis;Ulmus_laevis;Ulmus_laevis;D;Perennial;Tree;46.1;NA;NA;35;22;0.993;NA;0.0105;0.840101461
Scrophulariaceae;Verbascum;thapsus;Verbascum_thapsus;Verbascum_thapsus;D;Biennial;Herb;12.1;NA;NA;2;40;0.726666667;0.051333333;NA;0.715720708
Fabaceae;Vicia;faba;Vicia_faba;Vicia_faba;D;Annual;Herb;22.14;NA;NA;1;16;0.4964;NA;NA;0.44697033
Asparagaceae;Yucca;filamentosa;Yucca_filamentosa;Yucca_filamentosa;M;Perennial;Shrub;24.1449486;NA;NA;5.613783409;1;0.9505;0.065;NA;-0.103440286
